Team,1,2,3,4,5,6,7,8,9,R,H,E,Game,10,11,12,13,14,15,16,17,18,19
NYM,0,0,0,0,0,0,0,0,0,0,3,0,360409121,,,,,,,,,,
MIN,0,0,0,0,0,0,0,0,0,0,7,2,360409107,,,,,,,,,,
KC,0,0,0,2,2,3,0,0,-,7,10,0,360409107,,,,,,,,,,
SD,0,0,1,6,0,3,0,0,6,16,19,1,360409127,,,,,,,,,,
COL,0,0,0,2,0,0,1,0,0,3,8,2,360409127,,,,,,,,,,
CHC,3,0,0,1,0,0,0,0,0,4,10,0,360409129,,,,,,,,,,
ARI,0,0,0,1,0,0,1,0,0,2,4,1,360409129,,,,,,,,,,
TEX,1,0,0,1,0,0,2,0,0,4,10,0,360409103,,,,,,,,,,
LAA,1,0,0,0,0,0,0,0,0,1,5,2,360409103,,,,,,,,,,
OAK,2,0,0,0,2,1,0,1,0,6,11,0,360409112,,,,,,,,,,
SEA,0,1,0,0,0,0,0,0,0,1,5,0,360409112,,,,,,,,,,
BOS,0,0,0,0,0,0,0,0,0,0,7,1,360410114,,,,,,,,,,
TOR,2,0,0,0,0,0,0,1,-,3,7,0,360410114,,,,,,,,,,
PIT,0,1,0,0,0,0,0,0,0,1,9,0,360410117,,,,,,,,,,
CIN,0,0,0,0,0,1,0,0,1,2,10,0,360410117,,,,,,,,,,
PHI,0,0,1,0,0,2,0,1,1,5,9,0,360410121,,,,,,,,,,
NYM,0,0,0,0,0,2,0,0,0,2,4,0,360410121,,,,,,,,,,
TB,0,0,0,1,2,0,0,0,0,3,8,0,360410101,,,,,,,,,,
BAL,0,4,0,0,0,0,0,1,-,5,11,1,360410101,,,,,,,,,,
STL,0,0,4,0,0,1,0,2,5,12,10,1,360410115,,,,,,,,,,
ATL,1,0,0,3,1,1,0,0,1,7,11,0,360410115,,,,,,,,,,
MIA,1,0,0,0,0,0,0,0,1,2,7,0,360410120,,,,,,,,,,
WSH,1,0,0,0,0,0,3,0,-,4,11,0,360410120,,,,,,,,,,
TB,0,0,0,1,2,0,0,0,0,3,8,0,400836044,,,,,,,,,,
BAL,0,4,0,0,0,0,0,1,-,5,11,1,400836044,,,,,,,,,,
HOU,1,0,0,0,1,0,0,0,0,2,3,1,360410108,,,,,,,,,,
MIL,2,0,0,1,0,0,0,0,-,3,6,1,360410108,,,,,,,,,,
MIN,0,0,0,0,0,2,1,0,0,3,11,1,360410107,0.0,,,,,,,,,
KC,0,0,0,0,0,1,0,0,2,4,7,2,360410107,1.0,,,,,,,,,
TEX,0,0,0,0,1,0,0,0,0,1,7,1,360410103,,,,,,,,,,
LAA,0,0,2,0,0,0,1,0,-,3,7,0,360410103,,,,,,,,,,
LAD,5,0,0,1,0,0,0,0,0,6,10,0,360410126,,,,,,,,,,
SF,2,0,3,1,0,3,0,0,-,9,12,0,360410126,,,,,,,,,,
OAK,0,0,0,0,0,0,0,1,0,2,5,1,360410112,1.0,,,,,,,,,
SEA,0,0,0,0,0,1,0,0,0,1,6,0,360410112,0.0,,,,,,,,,
SD,0,1,1,0,0,0,0,1,0,3,8,0,360410127,,,,,,,,,,
COL,2,0,0,0,1,0,1,2,-,6,9,1,360410127,,,,,,,,,,
CHC,0,2,0,1,0,1,2,1,0,7,12,0,360410129,,,,,,,,,,
ARI,0,0,0,2,1,0,0,0,0,3,8,0,360410129,,,,,,,,,,
PIT,1,2,1,1,2,0,0,0,0,7,17,1,360411106,,,,,,,,,,
DET,0,1,0,0,1,2,0,0,0,4,6,0,360411106,,,,,,,,,,
BAL,0,0,5,0,0,1,0,0,3,9,9,2,360411102,,,,,,,,,,
BOS,3,0,0,2,0,1,0,0,1,7,11,0,360411102,,,,,,,,,,
SD,0,0,2,1,0,0,1,0,0,4,6,0,360411122,,,,,,,,,,
PHI,0,0,0,1,1,1,0,0,0,3,8,0,360411122,,,,,,,,,,
CHW,0,1,0,2,0,0,0,0,1,4,9,0,360411109,,,,,,,,,,
MIN,0,0,0,1,0,0,0,0,0,1,6,1,360411109,,,,,,,,,,
MIL,0,0,0,0,0,0,1,0,0,1,6,1,360411124,,,,,,,,,,
STL,3,2,4,0,0,0,1,0,-,10,19,0,360411124,,,,,,,,,,
MIA,0,7,1,0,0,2,0,0,0,10,15,1,360411121,,,,,,,,,,
NYM,0,0,0,3,0,0,0,0,0,3,7,0,360411121,,,,,,,,,,
ATL,2,2,0,0,0,0,0,0,0,4,8,1,360411120,,,,,,,,,,
WSH,3,0,1,0,1,0,1,0,-,6,11,0,360411120,,,,,,,,,,
CIN,1,0,1,1,0,0,0,0,0,3,7,1,360411116,,,,,,,,,,
CHC,0,0,0,0,0,0,2,3,-,5,3,0,360411116,,,,,,,,,,
KC,0,0,0,0,0,0,0,2,0,2,11,0,360411118,,,,,,,,,,
HOU,3,0,0,3,0,1,0,1,-,8,14,0,360411118,,,,,,,,,,
LAA,0,0,0,0,0,3,0,1,0,4,9,0,360411111,,,,,,,,,,
OAK,0,0,0,0,0,0,0,0,1,1,10,0,360411111,,,,,,,,,,
TEX,0,1,1,1,0,0,1,3,0,7,14,0,360411112,,,,,,,,,,
SEA,1,0,0,0,0,0,0,2,0,3,7,0,360411112,,,,,,,,,,
PIT,0,0,0,0,0,2,0,0,0,2,5,1,360412106,,,,,,,,,,
DET,2,2,0,0,0,3,1,0,-,8,14,1,360412106,,,,,,,,,,
ARI,0,0,0,0,0,0,1,1,2,4,9,0,360412119,,,,,,,,,,
LAD,0,1,0,0,0,0,0,0,1,2,9,1,360412119,,,,,,,,,,
ATL,0,0,0,0,0,0,0,0,1,1,6,0,360412120,,,,,,,,,,
WSH,0,0,0,0,0,0,0,2,-,2,8,1,360412120,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,4,2,360412122,,,,,,,,,,
PHI,0,0,0,0,0,1,0,2,-,3,4,1,360412122,,,,,,,,,,
NYY,0,1,0,0,0,1,1,0,0,3,7,1,360412114,,,,,,,,,,
TOR,0,0,2,0,0,0,0,0,0,2,3,1,360412114,,,,,,,,,,
BAL,0,0,0,2,0,3,4,0,0,9,11,0,360412102,,,,,,,,,,
BOS,2,0,0,0,2,0,0,1,0,5,10,0,360412102,,,,,,,,,,
MIA,0,0,0,1,0,0,0,1,0,2,9,0,360412121,,,,,,,,,,
NYM,1,0,0,0,0,0,0,0,0,1,6,0,360412121,,,,,,,,,,
CLE,0,0,0,1,0,0,0,0,0,1,5,0,360412130,,,,,,,,,,
TB,0,0,0,0,0,0,1,4,-,5,5,0,360412130,,,,,,,,,,
KC,3,0,0,0,0,0,0,0,0,3,7,0,360412118,,,,,,,,,,
HOU,2,0,0,0,0,0,0,0,0,2,7,0,360412118,,,,,,,,,,
